text,Cleaned Text,Tokens,matches,match_indices,match_count,results,Alternative_Sentence,sentence_cosine,avg_cosine
35-årig mand erkender drab [LINK],35-årig mand erkender drab [link],35 årig mand erkender drab,[],[],0,[],35 årig mand erkender drab,[],0.0
BILLEDSERIE: Hjerteforeningens lokalkomite mangler hjælpere for at fortsætte den traditionelle nytårsmarch. [LINK],billedserie: hjerteforeningens lokalkomite mangler hjælpere for at fortsætte den traditionelle nytårsmarch. [link],billedserie hjerteforeningens lokalkomite mangler hjælpere for at fortsætte den traditionelle nytårsmarch .,[],[],0,[],billedserie hjerteforeningens lokalkomite mangler hjælpere for at fortsætte den traditionelle nytårsmarch .,[],0.0
Det må jo være fraregnet #LordBendtner 😉 [LINK],det må jo være fraregnet #lordbendtner 😉 [link],det må jo være fraregnet lordbendtner,[],[],0,[],det må jo være fraregnet lordbendtner,[],0.0
"Det er så godt, @USER! Psykiatriske disgnoser skal ikke altid være en livstidsdom! #dkpol #dkpsyk #psykiatri [LINK]","det er så godt, @user! psykiatriske disgnoser skal ikke altid være en livstidsdom! #dkpol #dkpsyk #psykiatri [link]","det er så godt , ! psykiatriske disgnoser skal ikke altid være en livstidsdom ! dkpol dkpsyk psykiatri",[],[],0,[],"det er så godt , ! psykiatriske disgnoser skal ikke altid være en livstidsdom ! dkpol dkpsyk psykiatri",[],0.0
"Nøddesbos hånd i Herning-rundkørsel: Jeg er en smule stolt, [LINK] [LINK]","nøddesbos hånd i herning-rundkørsel: jeg er en smule stolt, [link] [link]","nøddesbos hånd i herning rundkørsel jeg er en smule stolt ,",[],[],0,[],"nøddesbos hånd i herning rundkørsel jeg er en smule stolt ,",[],0.0
@USER Prisen fluktuerer.,@user prisen fluktuerer.,prisen fluktuerer .,[],[],0,[],prisen fluktuerer .,[],0.0
@USER @USER @USER Den undersøgelse du nævner er en del mængde af den store samlede med mange flere parametre.,@user @user @user den undersøgelse du nævner er en del mængde af den store samlede med mange flere parametre.,den undersøgelse du nævner er en del mængde af den store samlede med mange flere parametre .,[],[],0,[],den undersøgelse du nævner er en del mængde af den store samlede med mange flere parametre .,[],0.0
Spærring af Gl. Lillebæltsbro: Undgå køen og tag en tidligere afkørsel [LINK],spærring af gl. lillebæltsbro: undgå køen og tag en tidligere afkørsel [link],spærring af gl . lillebæltsbro undgå køen og tag en tidligere afkørsel,['tag'],[8],1,['ta’'],spærring af gl . lillebæltsbro undgå køen og ta’ en tidligere afkørsel,[0.8927617073059082],0.8927617073059082
"Public service kanaler burde ikke lægge så væsentlige programmer overfor hinanden. Det er spild af ressourcer i et mediemarked, hvor det kun er os danskere selv der gider lave tv-nyheder på dansk. Taberne er flowseerene (som så ikke kan vælge et public service alternativ)","public service kanaler burde ikke lægge så væsentlige programmer overfor hinanden. det er spild af ressourcer i et mediemarked, hvor det kun er os danskere selv der gider lave tv-nyheder på dansk. taberne er flowseerene (som så ikke kan vælge et public service alternativ)","public service kanaler burde ikke lægge så væsentlige programmer overfor hinanden . det er spild af ressourcer i et mediemarked , hvor det kun er os danskere selv der gider lave tv nyheder på dansk . taberne er flowseerene ( som så ikke kan vælge et public service alternativ )","['public', 'service', 'public', 'service']","[0, 1, 46, 47]",4,"['library', 'service.', 'library', 'service.']","library service.. kanaler burde ikke lægge så væsentlige programmer overfor hinanden . det er spild af ressourcer i et mediemarked , hvor det kun er os danskere selv der gider lave tv nyheder på dansk . taberne er flowseerene ( som så ikke kan vælge et library service.. alternativ )","[0.8102116584777832, 0.3767932951450348, 0.2926225960254669, 0.3679875135421753]",0.46190376579761505
Assistmager efter debut: Det tegner spændende [LINK],assistmager efter debut: det tegner spændende [link],assistmager efter debut det tegner spændende,[],[],0,[],assistmager efter debut det tegner spændende,[],0.0
Brasilien leder efter de døde – nogle bliver måske aldrig fundet [LINK] [LINK],brasilien leder efter de døde – nogle bliver måske aldrig fundet [link] [link],brasilien leder efter de døde nogle bliver måske aldrig fundet,[],[],0,[],brasilien leder efter de døde nogle bliver måske aldrig fundet,[],0.0
Stramme regler lempes: Nu kommer der mere høj musik i Skagen [LINK],stramme regler lempes: nu kommer der mere høj musik i skagen [link],stramme regler lempes nu kommer der mere høj musik i skagen,[],[],0,[],stramme regler lempes nu kommer der mere høj musik i skagen,[],0.0
En varm anbefaling til statistiknørder med forkærlighed for #pldk: et par übernørder har samlet al statistik og målrettet det dit fantasy manager-spil: [LINK] Du kan selvfølgelig også bare gøre som @USER og pille Aguero ud lige inden et hattrick.,en varm anbefaling til statistiknørder med forkærlighed for #pldk: et par übernørder har samlet al statistik og målrettet det dit fantasy manager-spil: [link] du kan selvfølgelig også bare gøre som @user og pille aguero ud lige inden et hattrick.,en varm anbefaling til statistiknørder med forkærlighed for pldk et par übernørder har samlet al statistik og målrettet det dit fantasy manager spil du kan selvfølgelig også bare gøre som og pille aguero ud lige inden et hattrick .,"['par', 'fantasy', 'manager']","[10, 20, 21]",3,"['boyfriend-jeans', 'scifi', 'coordinator']",en varm anbefaling til statistiknørder med forkærlighed for pldk et boyfriend-jeans übernørder har samlet al statistik og målrettet det dit scifi coordinator spil du kan selvfølgelig også bare gøre som og pille aguero ud lige inden et hattrick .,"[0.9636273980140686, 0.3788243234157562, 0.49479278922080994]",0.6124148368835449
"Hvor er det vildt, at det kan lade sig gøre! Nul skat er ikke ok, Amazon (og alle jer andre). Ikke et firma-mindset, jeg bryder mig om. #Amazon #ComingSoontoDK [LINK]","hvor er det vildt, at det kan lade sig gøre! nul skat er ikke ok, amazon (og alle jer andre). ikke et firma-mindset, jeg bryder mig om. #amazon #comingsoontodk [link]","hvor er det vildt , at det kan lade sig gøre ! nul skat er ikke ok , amazon ( og alle jer andre ) . ikke et firma mindset , jeg bryder mig om . amazon comingsoontodk","['ok', 'mindset']","[16, 29]",2,"['url-rewrite', 'worklifebalance']","hvor er det vildt , at det kan lade sig gøre ! nul skat er ikke url-rewrite , amazon ( og alle jer andre ) . ikke et firma worklifebalance , jeg bryder mig om . amazon comingsoontodk","[0.7981001734733582, 0.176510751247406]",0.4873054623603821
« Ici c’est le club med » merci martini,« ici c’est le club med » merci martini,ici c est le club med merci martini,"['club', 'martini']","[4, 7]",2,"['intrawest', 'frizzante']",ici c est le intrawest med merci frizzante,"[0.9203532338142395, 0.4443129897117615]",0.6823331117630005
Beskæftigelsesministeriet: Beskæftigelsesminister Troels Lund Poulsens kommentar til ledig [LINK],beskæftigelsesministeriet: beskæftigelsesminister troels lund poulsens kommentar til ledig [link],beskæftigelsesministeriet beskæftigelsesminister troels lund poulsens kommentar til ledig,[],[],0,[],beskæftigelsesministeriet beskæftigelsesminister troels lund poulsens kommentar til ledig,[],0.0
@USER @USER Nej - endnu ikke - men jeg arbejder på at det ændre sig!,@user @user nej - endnu ikke - men jeg arbejder på at det ændre sig!,nej endnu ikke men jeg arbejder på at det ændre sig !,[],[],0,[],nej endnu ikke men jeg arbejder på at det ændre sig !,[],0.0
"⚽️ Der er i dag 3 #fodbold kampe/events mere, der vises direkte:

📺 3 på TV

#dksport #dkbold #sldk #pldk #laliga #seriea #cldk #eldk

🔗 [LINK] [LINK]","⚽️ der er i dag 3 #fodbold kampe/events mere, der vises direkte:  📺 3 på tv  #dksport #dkbold #sldk #pldk #laliga #seriea #cldk #eldk  🔗 [link] [link]","der er i dag 3 fodbold kampe events mere , der vises direkte 3 på tv dksport dkbold sldk pldk laliga seriea cldk eldk",[],[],0,[],"der er i dag 3 fodbold kampe events mere , der vises direkte 3 på tv dksport dkbold sldk pldk laliga seriea cldk eldk",[],0.0
"Gravearbejdet fortsætter resten af dagen i rundkørslen Skovalleen/Stubbekøbingvej ved Nykøbing Falster, og der er spærret mod byen. Kør i stedet ad Gaabensevej eller Nykøbing Falster Omfartsvej #p4trafik #tlf70100110. [LINK]","gravearbejdet fortsætter resten af dagen i rundkørslen skovalleen/stubbekøbingvej ved nykøbing falster, og der er spærret mod byen. kør i stedet ad gaabensevej eller nykøbing falster omfartsvej #p4trafik #tlf70100110. [link]","gravearbejdet fortsætter resten af dagen i rundkørslen skovalleen stubbekøbingvej ved nykøbing falster , og der er spærret mod byen . kør i stedet ad gaabensevej eller nykøbing falster omfartsvej p4trafik tlf70100110 .",['ad'],[23],1,['norderport'],"gravearbejdet fortsætter resten af dagen i rundkørslen skovalleen stubbekøbingvej ved nykøbing falster , og der er spærret mod byen . kør i stedet norderport gaabensevej eller nykøbing falster omfartsvej p4trafik tlf70100110 .",[0.9956713914871216],0.9956713914871216
"Dagens gode historie fra @USER og Andreas Munk:
[LINK]",dagens gode historie fra @user og andreas munk: [link],dagens gode historie fra og andreas munk,[],[],0,[],dagens gode historie fra og andreas munk,[],0.0
RT @USER: Til alle [LINK] lovers! Der er en ny vejrapp in town. Og den er præcis! [LINK],rt @user: til alle [link] lovers! der er en ny vejrapp in town. og den er præcis! [link],rt til alle lovers ! der er en ny vejrapp in town . og den er præcis !,"['in', 'town']","[10, 11]",2,"['helsingeåbningstider', 'old']",rt til alle lovers ! der er en ny vejrapp helsingeåbningstider old . og den er præcis !,"[0.9112293124198914, 0.8640406131744385]",0.8876349627971649
Kommunen køber ti hektar jord til muligt datacenter i Varde [LINK],kommunen køber ti hektar jord til muligt datacenter i varde [link],kommunen køber ti hektar jord til muligt datacenter i varde,[],[],0,[],kommunen køber ti hektar jord til muligt datacenter i varde,[],0.0
Dropper planer om vindmøllepark ved Husby [LINK],dropper planer om vindmøllepark ved husby [link],dropper planer om vindmøllepark ved husby,[],[],0,[],dropper planer om vindmøllepark ved husby,[],0.0
Måltørke i CL bekymrer ikke Barca-profil [LINK] #fcb #cldk,måltørke i cl bekymrer ikke barca-profil [link] #fcb #cldk,måltørke i cl bekymrer ikke barca profil fcb cldk,[],[],0,[],måltørke i cl bekymrer ikke barca profil fcb cldk,[],0.0
Barn smittet med mæslinger i københavnsområdet [LINK] [LINK],barn smittet med mæslinger i københavnsområdet [link] [link],barn smittet med mæslinger i københavnsområdet,[],[],0,[],barn smittet med mæslinger i københavnsområdet,[],0.0
Hjælp gerne @USER og især de #64500 fattige børn i DK med at sprede budskabet om denne aktion #IkkeOK @USER #VågnOp #DkPol #BekæmpFattigdomNU [LINK],hjælp gerne @user og især de #64500 fattige børn i dk med at sprede budskabet om denne aktion #ikkeok @user #vågnop #dkpol #bekæmpfattigdomnu [link],hjælp gerne og især de 64500 fattige børn i dk med at sprede budskabet om denne aktion ikkeok vågnop dkpol bekæmpfattigdomnu,[],[],0,[],hjælp gerne og især de 64500 fattige børn i dk med at sprede budskabet om denne aktion ikkeok vågnop dkpol bekæmpfattigdomnu,[],0.0
"Hvem er det nu, der ikke bryder sig om menneskerettigheder og som DFs Krarup er så glad for? #dkpol ⁦@USER⁩ [LINK]","hvem er det nu, der ikke bryder sig om menneskerettigheder og som dfs krarup er så glad for? #dkpol ⁦@user⁩ [link]","hvem er det nu , der ikke bryder sig om menneskerettigheder og som dfs krarup er så glad for ? dkpol",[],[],0,[],"hvem er det nu , der ikke bryder sig om menneskerettigheder og som dfs krarup er så glad for ? dkpol",[],0.0
Det er lige med at holde på hat og briller. Det bliver en dag fyldt med blæst 🌬🌬 [LINK],det er lige med at holde på hat og briller. det bliver en dag fyldt med blæst 🌬🌬 [link],det er lige med at holde på hat og briller . det bliver en dag fyldt med blæst,['hat'],[7],1,['bow'],det er lige med at holde på bow og briller . det bliver en dag fyldt med blæst,[0.8242162466049194],0.8242162466049194
Gad vide hvem der står bag den donation... #dkpol #FuskOgHumbug [LINK],gad vide hvem der står bag den donation... #dkpol #fuskoghumbug [link],gad vide hvem der står bag den donation . . . dkpol fuskoghumbug,['bag'],[5],1,['getro'],gad vide hvem der står getro den donation . . . dkpol fuskoghumbug,[0.5818488597869873],0.5818488597869873
"Skal vi ikke blive enige om, at det med at kalde fake news &amp; beskylde #dkmedier for at lyve, hver gang man dummer sig, det var en 2018-ting? [LINK]","skal vi ikke blive enige om, at det med at kalde fake news &amp; beskylde #dkmedier for at lyve, hver gang man dummer sig, det var en 2018-ting? [link]","skal vi ikke blive enige om , at det med at kalde fake news amp ; beskylde dkmedier for at lyve , hver gang man dummer sig , det var en 2018 ting ?","['fake', 'news']","[12, 13]",2,"['fakes', 'cnn']","skal vi ikke blive enige om , at det med at kalde fakes cnn amp ; beskylde dkmedier for at lyve , hver gang man dummer sig , det var en 2018 ting ?","[0.9588091373443604, 0.8114978075027466]",0.8851534724235535
Campus activists push for electric bus adoption - The Fulcrum [LINK] #uottawa,campus activists push for electric bus adoption - the fulcrum [link] #uottawa,campus activists push for electric bus adoption the fulcrum uottawa,"['campus', 'push', 'electric', 'the']","[0, 2, 4, 7]",4,"['maskinmesterskolen', 'bounces', 'std-eg', 'judges']",maskinmesterskolen activists bounces for std-eg bus adoption judges fulcrum uottawa,"[0.8649992346763611, 0.39623022079467773, 0.613991379737854, 0.6070180535316467]",0.6205597221851349
"@USER @USER Hvorfor, egentlig?","@user @user hvorfor, egentlig?","hvorfor , egentlig ?",[],[],0,[],"hvorfor , egentlig ?",[],0.0
"Point - men suspendering - tid på bænken - er IMO kun en fordel for den suspenderede. 
Lidt som at udsætte brexit, men igen - det er bare min mening. [LINK]","point - men suspendering - tid på bænken - er imo kun en fordel for den suspenderede.  lidt som at udsætte brexit, men igen - det er bare min mening. [link]","point men suspendering tid på bænken er imo kun en fordel for den suspenderede . lidt som at udsætte brexit , men igen det er bare min mening .","['point', 'imo', 'brexit']","[0, 7, 19]",3,"['tornsberglaxholmwernerbendixen', 'søfartsorganisation', 'eu-afstemning']","tornsberglaxholmwernerbendixen men suspendering tid på bænken er søfartsorganisation kun en fordel for den suspenderede . lidt som at udsætte eu-afstemning , men igen det er bare min mening .","[0.6935558915138245, 0.3921416401863098, 0.2826853096485138]",0.4561276137828827
"Hay Mamita! Con todo respeto pero estás repitiendo lo mismo y lo mismo como LORO lo de tu campaña y sabes que no es verdad. Llegas con las manos sucias.

Esperemos que devuelvas la legitimidad a la Capital y la saques del Letargo que trae. Empiezas mal. [LINK]",hay mamita! con todo respeto pero estás repitiendo lo mismo y lo mismo como loro lo de tu campaña y sabes que no es verdad. llegas con las manos sucias.  esperemos que devuelvas la legitimidad a la capital y la saques del letargo que trae. empiezas mal. [link],hay mamita ! con todo respeto pero estás repitiendo lo mismo y lo mismo como loro lo de tu campaña y sabes que no es verdad . llegas con las manos sucias . esperemos que devuelvas la legitimidad a la capital y la saques del letargo que trae . empiezas mal .,"['no', 'capital']","[23, 40]",2,"['boushi', 'bikeshare']",hay mamita ! con todo respeto pero estás repitiendo lo mismo y lo mismo como loro lo de tu campaña y sabes que boushi es verdad . llegas con las maboushis sucias . esperemos que devuelvas la legitimidad a la bikeshare y la saques del letargo que trae . empiezas mal .,"[0.9908121824264526, 0.32639655470848083]",0.6586043685674667
@USER @USER Elsker din nørdede hjerne 😂😘,@user @user elsker din nørdede hjerne 😂😘,elsker din nørdede hjerne,[],[],0,[],elsker din nørdede hjerne,[],0.0
